Hours Studied;Previous Scores;Extracurricular Activities;Sleep Hours;Sample Question Papers Practiced;Performance Index
8;91;No;7;1;83.00.00
5;80;Yes;5;6;66.00.00
5;47;No;8;4;33.00.00
4;50;Yes;7;3;31.00.00
6;55;Yes;4;9;40.00.00
6;78;No;6;5;66.00.00
3;86;Yes;9;4;67.00.00
9;63;No;9;5;64.00.00
7;60;No;7;8;52.00.00
1;91;No;9;0;68.00.00
7;62;No;9;0;58.00.00
5;88;Yes;7;5;72.00.00
5;77;No;7;1;65.00.00
2;86;Yes;4;7;65.00.00
4;47;No;4;6;24.00.00
6;46;Yes;9;5;35.00.00
7;41;Yes;7;3;34.00.00
5;69;Yes;7;8;57.00.00
9;52;Yes;9;6;54.00.00
3;62;No;5;6;42.00.00
1;68;No;6;4;39.00.00
4;77;Yes;8;0;62.00.00
9;76;Yes;8;1;71.00.00
4;59;No;9;7;42.00.00
2;72;Yes;8;4;52.00.00
5;68;Yes;4;1;54.00.00
3;89;No;4;4;68.00.00
9;54;Yes;5;7;50.00.00
4;62;Yes;9;3;46.00.00
6;81;No;4;2;68.00.00
2;42;Yes;9;4;19.00
6;76;No;9;6;68.00.00
3;95;No;7;1;74.00.00
9;68;No;6;0;63.00.00
2;84;No;6;4;60.00.00
9;47;Yes;9;6;47.00.00
5;61;No;6;7;47.00.00
8;92;No;6;7;87.00.00
2;68;Yes;8;9;45.00.00
6;41;No;8;8;31.00.00
3;80;Yes;7;0;61.00.00
5;88;No;5;6;73.00.00
8;98;No;4;9;92.00.00
1;89;No;4;7;65.00.00
5;84;No;8;5;69.00.00
3;40;Yes;9;9;20.00
4;83;Yes;6;3;66.00.00
2;59;Yes;7;6;38.00.00
9;91;No;5;2;81.00.00
3;60;No;8;1;39.00.00
2;76;No;9;5;53.00.00
9;47;Yes;7;1;44.00.00
7;66;No;9;5;58.00.00
6;86;Yes;7;9;79.00.00
1;98;Yes;8;2;75.00.00
5;74;Yes;7;1;59.00.00
3;45;No;6;7;23.00
1;99;No;7;3;74.00.00
4;84;No;5;3;65.00.00
2;83;No;7;6;60.00.00
2;58;Yes;4;7;32.00.00
3;57;Yes;7;8;38.00.00
8;95;No;9;9;91.00.00
8;40;No;8;7;34.00.00
7;64;No;4;3;46.00.00
6;66;Yes;8;1;55.00.00
9;46;No;9;9;43.00.00
4;83;Yes;5;4;67.00.00
1;81;Yes;6;6;56.00.00
8;68;Yes;5;1;58.00.00
7;70;Yes;4;3;60.00.00
7;83;Yes;9;5;77.00.00
3;82;Yes;9;7;69.00.00
4;75;Yes;6;9;60.00.00
9;58;No;7;5;52.00.00
6;45;No;4;5;36.00.00
5;64;No;6;5;49.00.00
3;70;Yes;8;3;50.00.00
9;48;Yes;6;2;48.00.00
5;59;No;8;0;43.00.00
5;49;Yes;8;1;34.00.00
4;76;Yes;9;1;57.00.00
4;66;Yes;6;9;50.00.00
1;52;Yes;9;6;28.00.00
7;80;Yes;9;5;72.00.00
9;41;Yes;5;7;38.00.00
3;89;Yes;5;8;68.00.00
2;60;Yes;9;4;41.00.00
3;72;Yes;9;2;53.00.00
1;63;Yes;8;3;36.00.00
6;92;Yes;9;7;80.00.00
7;83;Yes;4;2;73.00.00
2;81;No;6;1;59.00.00
8;73;Yes;4;6;67.00.00
6;99;Yes;5;3;91.00.00
4;48;No;4;7;34.00.00
5;41;No;7;0;23.00
8;94;No;7;7;86.00.00
3;95;Yes;5;4;73.00.00
3;69;Yes;4;1;49.00.00
4;61;No;6;0;43.00.00
1;85;No;5;5;61.00.00
9;50;No;7;8;45.00.00
8;94;Yes;5;8;85.00.00
8;82;Yes;4;8;75.00.00
6;56;No;4;3;44.00.00
7;75;Yes;4;5;66.00.00
6;52;Yes;8;9;45.00.00
9;46;No;4;5;40.00.00
3;55;No;9;4;38.00.00
3;72;No;7;1;50.00.00
3;84;Yes;7;6;67.00.00
3;40;Yes;8;0;21.00
9;50;Yes;7;5;51.00.00
4;45;Yes;7;4;25.00.00
7;59;Yes;5;4;53.00.00
9;74;No;4;7;71.00.00
7;83;Yes;9;8;77.00.00
9;76;Yes;9;6;75.00.00
3;80;No;5;9;60.00.00
4;65;No;9;7;49.00.00
8;97;No;5;1;87.00.00
6;51;No;9;1;40.00.00
5;69;Yes;7;7;56.00.00
4;67;Yes;6;5;49.00.00
8;66;No;4;7;59.00.00
1;81;Yes;6;8;59.00.00
9;58;No;7;8;54.00.00
1;44;Yes;8;5;17.00
8;97;Yes;5;7;90.00.00
4;44;Yes;9;1;23.00
9;80;No;9;7;82.00.00
5;66;No;7;2;49.00.00
3;67;Yes;9;0;50.00.00
9;65;Yes;7;6;60.00.00
9;66;No;6;0;60.00.00
4;91;No;8;0;74.00.00
4;88;Yes;5;0;71.00.00
8;81;Yes;9;3;77.00.00
2;60;No;8;3;34.00.00
9;40;Yes;8;9;39.00.00
6;93;No;8;5;85.00.00
9;67;No;4;9;64.00.00
8;87;Yes;8;2;87.00.00
7;97;Yes;7;9;91.00.00
1;97;Yes;4;5;73.00.00
3;54;No;4;6;34.00.00
2;94;No;8;0;70.00.00
5;56;No;9;5;42.00.00
5;65;Yes;9;9;55.00.00
5;59;Yes;9;0;45.00.00
4;64;No;9;6;49.00.00
5;52;No;7;9;37.00.00
3;72;Yes;9;4;55.00.00
1;64;No;5;9;38.00.00
5;47;Yes;8;3;35.00.00
9;44;Yes;4;0;41.00.00
9;45;No;5;8;43.00.00
4;62;No;9;6;46.00.00
3;91;No;5;1;69.00.00
1;69;No;4;3;37.00.00
2;53;No;9;3;31.00.00
8;93;Yes;5;7;90.00.00
1;62;No;7;1;33.00.00
8;50;Yes;7;4;44.00.00
7;70;No;8;9;62.00.00
8;45;No;8;7;41.00.00
6;50;No;5;5;38.00.00
9;52;No;4;3;45.00.00
3;51;No;7;4;34.00.00
4;93;No;6;1;72.00.00
6;41;Yes;8;4;29.00.00
8;92;No;7;2;83.00.00
5;74;No;9;2;61.00.00
3;94;No;5;6;75.00.00
6;75;No;7;2;63.00.00
4;56;Yes;7;3;36.00.00
9;67;Yes;5;6;62.00.00
3;67;Yes;8;2;49.00.00
4;61;Yes;8;9;46.00.00
7;77;Yes;6;9;69.00.00
7;46;Yes;6;1;35.00.00
4;54;No;8;9;38.00.00
6;71;No;8;6;62.00.00
3;50;Yes;8;4;30.00.00
6;63;No;8;0;52.00.00
2;42;No;7;9;16.00
8;69;No;6;7;66.00.00
2;45;No;5;2;20.00
7;97;No;4;6;86.00.00
9;41;Yes;5;5;38.00.00
1;53;Yes;9;9;30.00.00
8;80;Yes;4;5;71.00.00
7;57;Yes;7;7;49.00.00
6;90;Yes;9;3;79.00.00
6;83;Yes;6;3;69.00.00
6;70;No;4;2;56.00.00
9;52;Yes;8;0;47.00.00
2;65;No;9;9;41.00.00
1;83;No;7;2;58.00.00
6;51;Yes;4;0;38.00.00
8;57;Yes;8;5;52.00.00
3;48;Yes;9;7;25.00.00
1;88;No;7;2;62.00.00
9;60;Yes;9;3;60.00.00
1;87;Yes;4;4;63.00.00
3;88;Yes;8;6;72.00.00
8;92;No;6;5;84.00.00
3;95;Yes;7;1;74.00.00
4;79;Yes;4;6;61.00.00
8;82;No;8;7;77.00.00
1;63;No;6;0;36.00.00
6;73;No;9;5;65.00.00
1;47;Yes;8;8;23.00
1;83;Yes;6;6;60.00.00
8;92;No;4;4;83.00.00
4;72;Yes;8;9;56.00.00
1;62;No;8;9;37.00.00
7;52;No;5;8;43.00.00
5;93;No;7;1;76.00.00
5;92;No;8;6;83.00.00
1;88;No;6;8;63.00.00
6;53;Yes;7;1;39.00.00
9;53;Yes;4;9;48.00.00
9;55;Yes;7;5;53.00.00
8;88;Yes;5;8;84.00.00
5;77;No;4;2;63.00.00
1;97;Yes;8;7;73.00.00
9;99;No;9;4;99.00.00
1;78;No;4;6;52.00.00
8;65;Yes;4;2;58.00.00
5;65;Yes;5;7;50.00.00
3;40;No;6;1;18.00
7;71;Yes;4;7;62.00.00
7;96;Yes;6;1;87.00.00
9;54;Yes;7;6;53.00.00
7;91;Yes;9;1;87.00.00
3;60;No;5;6;37.00.00
1;57;No;8;0;31.00.00
8;69;Yes;4;5;63.00.00
3;99;No;9;9;81.00.00
8;97;No;9;6;95.00.00
8;52;Yes;6;3;45.00.00
5;63;Yes;4;0;48.00.00
1;69;No;9;5;47.00.00
7;41;No;5;3;31.00.00
5;58;No;8;2;43.00.00
8;86;Yes;7;3;82.00.00
9;83;No;7;5;80.00.00
7;86;No;6;4;76.00.00
7;64;Yes;9;1;57.00.00
1;89;No;7;1;64.00.00
4;53;Yes;6;2;35.00.00
2;45;Yes;8;5;24.00.00
2;51;No;4;0;30.00.00
2;59;Yes;5;6;38.00.00
4;62;Yes;8;7;45.00.00
1;69;No;8;6;44.00.00
4;69;Yes;7;2;53.00.00
2;77;No;7;5;53.00.00
5;97;Yes;5;3;84.00.00
3;69;Yes;4;4;47.00.00
8;80;No;8;2;76.00.00
4;69;No;9;4;57.00.00
1;96;No;7;5;71.00.00
1;97;Yes;8;7;74.00.00
3;75;No;4;5;54.00.00
9;88;Yes;6;8;84.00.00
7;73;No;4;9;62.00.00
2;55;Yes;8;9;35.00.00
9;63;No;8;9;62.00.00
2;53;Yes;5;9;30.00.00
3;65;No;8;3;47.00.00
2;47;Yes;7;1;25.00.00
3;53;Yes;9;8;40.00.00
6;70;Yes;5;2;56.00.00
9;41;Yes;8;6;38.00.00
9;87;No;4;3;86.00.00
7;43;Yes;8;0;38.00.00
3;40;No;4;7;17.00
4;94;Yes;4;3;75.00.00
6;59;No;8;5;48.00.00
5;98;Yes;4;6;87.00.00
2;53;Yes;9;7;32.00.00
6;79;No;6;9;68.00.00
3;64;No;5;1;42.00.00
8;99;Yes;8;8;96.00.00
2;64;No;6;9;42.00.00
1;42;No;4;2;18.00
9;44;No;4;0;41.00.00
3;77;Yes;5;1;54.00.00
1;93;No;6;7;67.00.00
7;65;Yes;6;9;57.00.00
5;79;No;8;5;65.00.00
5;77;No;4;0;62.00.00
1;77;Yes;7;8;56.00.00
9;43;No;8;6;39.00.00
7;46;No;8;9;38.00.00
8;69;No;8;2;65.00.00
9;69;No;5;6;68.00.00
6;95;No;5;5;82.00.00
5;58;No;8;2;44.00.00
6;78;No;9;7;67.00.00
2;74;Yes;7;0;53.00.00
4;79;Yes;6;4;61.00.00
3;72;Yes;6;7;53.00.00
7;72;Yes;4;2;61.00.00
9;53;Yes;6;9;49.00.00
5;77;No;6;5;61.00.00
6;49;Yes;7;9;38.00.00
2;96;Yes;6;1;76.00.00
3;67;No;7;8;47.00.00
3;53;Yes;5;1;32.00.00
9;75;No;7;4;71.00.00
7;77;No;5;2;69.00.00
8;55;Yes;7;9;53.00.00
9;99;Yes;8;8;100.00.00
6;60;No;9;8;49.00.00
4;67;No;5;6;48.00.00
1;72;Yes;5;9;45.00.00
8;45;No;6;4;40.00.00
7;80;Yes;5;8;71.00.00
2;54;Yes;7;6;34.00.00
8;83;Yes;8;1;76.00.00
5;42;Yes;8;9;29.00.00
7;82;No;6;0;71.00.00
4;86;No;7;9;69.00.00
5;74;Yes;7;9;58.00.00
8;53;Yes;4;3;43.00.00
1;41;No;5;9;17.00
1;68;No;6;7;41.00.00
4;43;No;8;5;27.00.00
3;65;No;9;1;45.00.00
2;90;No;4;4;65.00.00
3;51;Yes;7;8;31.00.00
1;41;Yes;5;5;14.00
1;56;Yes;8;5;33.00.00
6;74;Yes;4;6;60.00.00
5;49;No;7;4;34.00.00
8;87;No;8;2;82.00.00
2;61;Yes;8;2;40.00.00
4;80;Yes;7;4;66.00.00
8;82;No;7;3;76.00.00
6;60;Yes;6;4;46.00.00
1;54;Yes;8;8;31.00.00
4;74;No;7;4;57.00.00
1;87;No;9;3;65.00.00
2;60;No;9;3;38.00.00
5;60;Yes;4;0;46.00.00
8;60;No;5;9;53.00.00
8;99;No;9;3;97.00.00
3;83;Yes;6;3;63.00.00
4;71;No;7;8;55.00.00
6;94;Yes;5;3;79.00.00
3;44;Yes;6;6;26.00.00
2;78;Yes;8;0;55.00.00
6;48;Yes;5;6;37.00.00
5;92;No;9;1;78.00.00
5;57;Yes;6;7;45.00.00
5;60;No;7;0;45.00.00
5;47;No;7;9;34.00.00
3;83;No;6;2;66.00.00
7;91;No;8;7;79.00.00
6;73;No;9;9;63.00.00
4;49;Yes;6;7;32.00.00
2;90;No;4;4;64.00.00
9;80;Yes;6;4;78.00.00
1;96;Yes;6;7;69.00.00
4;63;Yes;9;9;46.00.00
1;79;No;7;4;54.00.00
6;63;No;8;8;51.00.00
4;95;No;6;0;78.00.00
5;71;No;5;4;54.00.00
5;95;Yes;7;2;80.00.00
9;72;No;7;2;67.00.00
1;77;No;6;1;48.00.00
2;83;Yes;9;2;61.00.00
6;96;Yes;5;6;83.00.00
5;95;Yes;6;7;82.00.00
7;90;Yes;5;7;78.00.00
3;98;Yes;7;7;78.00.00
3;88;Yes;5;0;70.00.00
2;73;Yes;6;6;48.00.00
3;50;No;4;1;26.00.00
1;70;No;4;9;46.00.00
5;57;Yes;5;3;42.00.00
5;62;Yes;9;4;46.00.00
7;99;No;6;0;91.00.00
4;61;Yes;8;3;47.00.00
3;82;Yes;4;3;61.00.00
1;57;Yes;7;8;31.00.00
8;79;Yes;6;8;71.00.00
3;86;Yes;6;9;66.00.00
2;80;No;4;0;52.00.00
4;86;Yes;8;7;71.00.00
3;78;Yes;7;3;60.00.00
1;59;Yes;8;3;32.00.00
3;52;No;7;4;33.00.00
2;84;No;4;1;56.00.00
8;40;Yes;6;0;32.00.00
6;91;Yes;7;4;76.00.00
9;43;Yes;6;6;40.00.00
8;63;Yes;5;9;60.00.00
3;75;No;5;8;54.00.00
5;75;No;4;1;59.00.00
7;84;Yes;4;7;74.00.00
5;41;Yes;9;6;29.00.00
8;67;No;4;1;61.00.00
5;65;No;5;4;50.00.00
1;62;Yes;7;6;36.00.00
5;54;Yes;8;2;41.00.00
4;75;Yes;4;1;60.00.00
6;66;No;8;5;56.00.00
3;45;No;8;9;23.00
5;74;No;5;5;63.00.00
2;78;No;9;3;54.00.00
6;77;Yes;7;0;64.00.00
6;74;No;5;4;64.00.00
5;75;No;4;0;58.00.00
6;49;No;5;7;38.00.00
7;69;Yes;5;1;60.00.00
5;92;No;5;8;79.00.00
1;80;No;4;8;57.00.00
8;77;No;4;2;69.00.00
4;68;Yes;5;5;51.00.00
9;91;No;5;8;86.00.00
6;98;Yes;8;6;90.00.00
1;82;Yes;7;3;57.00.00
3;78;No;8;2;61.00.00
3;89;Yes;9;1;71.00.00
4;43;No;7;9;30.00.00
6;44;Yes;9;9;34.00.00
7;43;Yes;7;0;34.00.00
4;75;No;5;9;58.00.00
6;98;No;8;0;85.00.00
1;84;Yes;7;3;55.00.00
8;55;Yes;9;3;51.00.00
7;64;Yes;7;8;53.00.00
9;53;Yes;4;9;51.00.00
3;50;No;7;0;31.00.00
2;68;Yes;5;3;44.00.00
1;73;Yes;6;2;48.00.00
3;61;No;4;8;41.00.00
5;53;Yes;6;4;40.00.00
2;95;No;5;8;72.00.00
3;63;No;6;9;41.00.00
4;98;No;7;5;78.00.00
7;78;Yes;6;8;70.00.00
3;65;No;8;0;41.00.00
9;82;No;5;3;78.00.00
8;75;No;8;3;70.00.00
4;78;Yes;6;9;61.00.00
1;55;Yes;8;9;33.00.00
1;97;Yes;4;5;71.00.00
1;77;Yes;6;9;51.00.00
1;98;No;9;0;72.00.00
8;71;No;8;9;69.00.00
3;45;No;7;4;21.00
6;73;Yes;6;2;61.00.00
3;95;No;9;0;76.00.00
5;47;Yes;4;5;30.00.00
7;69;Yes;7;2;59.00.00
2;66;Yes;6;3;45.00.00
6;46;No;7;8;39.00.00
6;66;No;6;1;53.00.00
3;64;Yes;6;0;43.00.00
6;95;No;5;9;85.00.00
5;85;Yes;8;5;70.00.00
2;80;No;6;0;56.00.00
9;54;Yes;4;0;52.00.00
8;64;Yes;9;6;65.00.00
3;61;Yes;8;1;39.00.00
8;57;No;5;3;48.00.00
9;51;No;8;3;47.00.00
3;62;No;8;1;41.00.00
3;90;No;6;5;72.00.00
2;84;No;4;9;61.00.00
8;78;Yes;6;1;74.00.00
1;64;No;4;7;38.00.00
8;49;Yes;4;3;42.00.00
7;69;No;7;0;60.00.00
7;49;No;6;6;35.00.00
3;73;No;5;5;52.00.00
1;85;Yes;9;5;61.00.00
4;52;No;8;2;32.00.00
9;93;Yes;7;9;95.00.00
5;68;No;5;6;53.00.00
1;77;Yes;9;5;54.00.00
5;80;Yes;9;9;70.00.00
8;84;Yes;6;9;78.00.00
8;48;Yes;4;8;42.00.00
5;52;No;6;2;33.00.00
9;76;No;9;2;75.00.00
1;53;Yes;6;3;26.00.00
4;76;No;7;2;58.00.00
3;48;Yes;5;3;29.00.00
2;47;No;9;5;29.00.00
8;78;No;7;0;70.00.00
7;79;No;5;1;67.00.00
9;93;Yes;7;9;93.00.00
2;42;No;8;5;21.00
4;94;Yes;4;5;74.00.00
6;95;No;4;0;82.00.00
3;86;Yes;4;5;65.00.00
8;79;No;8;8;75.00.00
3;72;Yes;9;7;55.00.00
2;71;Yes;9;9;54.00.00
3;46;Yes;8;4;26.00.00
6;58;No;4;3;48.00.00
2;73;Yes;4;5;49.00.00
8;53;No;5;4;49.00.00
1;89;Yes;5;5;64.00.00
7;86;Yes;6;9;81.00.00
2;85;Yes;7;2;64.00.00
6;95;No;5;6;82.00.00
2;96;No;5;7;74.00.00
2;58;No;5;4;32.00.00
8;90;No;5;4;83.00.00
2;93;No;8;3;68.00.00
7;98;No;6;9;90.00.00
3;65;No;5;4;44.00.00
8;56;Yes;9;9;51.00.00
7;93;Yes;7;7;86.00.00
8;67;No;5;4;62.00.00
7;58;No;8;8;48.00.00
6;66;No;9;0;56.00.00
7;87;No;4;6;79.00.00
5;91;No;4;4;74.00.00
7;96;Yes;6;3;82.00.00
1;58;No;4;2;32.00.00
1;72;No;5;9;46.00.00
9;90;No;8;6;88.00.00
5;46;Yes;6;1;35.00.00
5;68;Yes;9;4;56.00.00
3;94;Yes;5;1;74.00.00
5;82;Yes;4;6;67.00.00
3;44;No;7;5;23.00
9;69;Yes;5;9;67.00.00
9;88;Yes;7;6;86.00.00
6;82;Yes;9;8;70.00.00
1;95;Yes;7;1;68.00.00
7;97;Yes;9;8;91.00.00
7;47;No;6;6;42.00.00
4;81;Yes;8;1;62.00.00
8;51;Yes;4;9;44.00.00
6;81;Yes;4;1;67.00.00
4;52;No;5;3;35.00.00
4;65;No;4;1;46.00.00
2;57;No;6;0;31.00.00
2;81;No;4;5;59.00.00
4;90;No;5;9;71.00.00
5;91;No;4;4;74.00.00
8;88;No;8;2;80.00.00
6;59;No;9;0;49.00.00
4;55;Yes;7;8;39.00.00
7;76;Yes;7;7;67.00.00
8;42;No;9;5;38.00.00
2;66;Yes;7;5;47.00.00
7;54;No;8;3;41.00.00
2;97;Yes;6;1;75.00.00
2;73;Yes;5;3;53.00.00
8;84;No;8;1;81.00.00
2;61;Yes;5;6;37.00.00
9;79;No;6;8;77.00.00
1;62;No;8;1;36.00.00
9;98;Yes;4;8;95.00.00
1;88;No;6;8;65.00.00
2;43;Yes;7;7;18.00
6;90;Yes;8;0;80.00.00
6;93;No;6;4;81.00.00
1;96;No;6;9;73.00.00
7;80;No;8;3;74.00.00
8;62;No;7;6;57.00.00
2;86;No;9;7;64.00.00
8;99;Yes;7;9;97.00.00
9;48;No;6;7;42.00.00
6;63;Yes;5;1;48.00.00
5;60;No;9;2;46.00.00
9;80;Yes;9;9;79.00.00
9;85;Yes;6;9;83.00.00
1;94;Yes;8;6;70.00.00
3;92;Yes;8;3;73.00.00
9;55;Yes;8;5;56.00.00
2;95;No;7;7;71.00.00
4;94;Yes;4;7;76.00.00
4;64;No;8;6;49.00.00
2;65;Yes;8;1;43.00.00
3;88;No;9;1;67.00.00
3;84;Yes;5;2;63.00.00
1;48;Yes;5;3;18.00
6;54;No;6;0;43.00.00
8;78;No;6;4;72.00.00
3;72;Yes;6;6;57.00.00
5;40;Yes;8;9;25.00.00
1;44;No;5;4;15.00
7;95;Yes;6;6;88.00.00
1;48;Yes;5;4;24.00.00
9;83;No;8;9;81.00.00
8;45;Yes;9;7;40.00.00
7;67;Yes;8;6;60.00.00
7;84;No;6;0;73.00.00
5;65;Yes;8;0;52.00.00
5;67;No;8;4;53.00.00
5;79;No;5;1;65.00.00
1;54;Yes;4;8;30.00.00
8;45;Yes;7;1;39.00.00
1;66;No;6;8;43.00.00
4;77;No;4;9;59.00.00
9;43;Yes;9;1;38.00.00
9;50;No;6;3;44.00.00
5;60;Yes;4;2;44.00.00
4;69;No;8;5;53.00.00
3;57;No;6;3;37.00.00
3;74;No;4;8;52.00.00
5;42;Yes;7;8;30.00.00
1;51;No;8;9;22.00
5;66;No;6;8;51.00.00
6;92;No;9;2;82.00.00
7;69;No;9;2;63.00.00
9;60;Yes;6;3;58.00.00
3;77;No;4;8;58.00.00
2;60;Yes;6;5;38.00.00
3;99;No;8;8;80.00.00
9;77;No;5;7;70.00.00
7;79;Yes;9;6;72.00.00
9;54;Yes;4;4;48.00.00
2;57;No;7;8;36.00.00
5;91;No;6;3;73.00.00
4;68;No;8;3;51.00.00
2;87;Yes;6;7;63.00.00
9;77;No;7;3;74.00.00
9;99;Yes;8;6;98.00.00
6;60;No;7;3;45.00.00
6;56;Yes;8;0;45.00.00
8;80;Yes;5;9;74.00.00
6;90;Yes;9;8;81.00.00
1;57;No;8;3;30.00.00
4;96;No;7;2;77.00.00
7;94;Yes;4;2;86.00.00
2;76;Yes;9;8;58.00.00
9;99;Yes;5;7;99.00.00
8;77;No;6;9;69.00.00
8;51;No;5;6;47.00.00
7;50;No;5;6;42.00.00
4;87;Yes;6;3;73.00.00
2;91;No;8;2;71.00.00
3;88;No;5;3;68.00.00
6;59;No;9;5;47.00.00
5;48;Yes;5;3;31.00.00
8;40;No;4;3;31.00.00
6;97;No;9;1;86.00.00
6;42;No;4;6;27.00.00
1;60;No;9;5;32.00.00
4;62;No;7;1;41.00.00
5;48;Yes;6;4;33.00.00
3;93;Yes;9;5;75.00.00
9;58;Yes;9;4;57.00.00
1;84;Yes;8;3;59.00.00
6;94;No;8;8;87.00.00
6;85;No;7;2;72.00.00
5;91;Yes;8;1;78.00.00
5;58;Yes;8;8;46.00.00
5;62;Yes;4;7;47.00.00
6;66;No;8;8;58.00.00
8;66;No;8;9;63.00.00
2;78;No;7;2;56.00.00
6;75;Yes;7;0;62.00.00
1;51;Yes;5;0;23.00
4;94;Yes;8;2;73.00.00
3;66;No;8;3;46.00.00
9;85;No;9;1;80.00.00
3;73;Yes;8;7;59.00.00
6;72;Yes;4;2;60.00.00
1;67;No;9;3;41.00.00
6;70;No;8;5;61.00.00
4;71;Yes;4;9;51.00.00
8;89;Yes;5;5;82.00.00
9;59;No;9;1;55.00.00
4;79;Yes;6;5;64.00.00
6;74;Yes;8;3;61.00.00
1;70;No;9;4;44.00.00
4;97;Yes;7;6;81.00.00
7;70;No;9;6;64.00.00
1;77;Yes;7;5;53.00.00
8;61;No;8;9;55.00.00
6;84;Yes;4;5;72.00.00
5;80;Yes;7;5;65.00.00
9;48;Yes;9;3;44.00.00
2;91;No;9;2;70.00.00
5;48;Yes;7;0;34.00.00
6;54;Yes;5;2;41.00.00
7;52;No;5;2;43.00.00
5;61;Yes;5;8;48.00.00
9;55;No;7;2;46.00.00
1;71;No;7;7;47.00.00
7;41;No;9;7;37.00.00
7;65;Yes;8;2;56.00.00
4;53;No;8;9;40.00.00
9;98;Yes;4;9;96.00.00
5;77;No;7;5;63.00.00
4;73;Yes;8;7;58.00.00
7;47;No;8;7;36.00.00
4;75;No;5;9;61.00.00
3;60;Yes;5;9;39.00.00
9;95;No;5;8;90.00.00
8;85;Yes;6;8;79.00.00
1;82;No;8;7;58.00.00
7;95;Yes;5;6;89.00.00
9;67;No;5;9;64.00.00
8;85;No;7;2;78.00.00
8;83;Yes;9;6;79.00.00
6;87;No;5;3;72.00.00
4;45;Yes;7;1;26.00.00
8;59;Yes;4;7;52.00.00
3;70;No;5;1;49.00.00
9;72;No;9;0;66.00.00
2;83;No;7;4;59.00.00
2;46;Yes;9;9;28.00.00
7;47;Yes;5;8;39.00.00
4;48;No;4;4;31.00.00
8;41;Yes;5;1;33.00.00
9;56;No;7;9;57.00.00
7;91;No;4;3;83.00.00
5;84;No;4;7;69.00.00
8;76;Yes;4;6;71.00.00
4;81;Yes;6;4;62.00.00
2;83;No;7;3;58.00.00
6;56;Yes;6;4;46.00.00
9;92;No;9;6;93.00.00
1;77;No;4;4;48.00.00
7;74;Yes;6;7;68.00.00
9;99;No;5;6;97.00.00
9;86;No;6;6;82.00.00
3;78;No;8;8;57.00.00
5;69;No;9;7;55.00.00
8;45;No;4;7;37.00.00
8;43;Yes;4;5;35.00.00
4;90;Yes;9;6;72.00.00
1;76;No;9;7;51.00.00
1;74;Yes;7;4;50.00.00
4;97;No;5;9;82.00.00
6;96;No;9;1;84.00.00
8;48;No;9;6;46.00.00
6;45;No;7;9;34.00.00
9;52;Yes;9;2;55.00.00
9;98;Yes;6;9;95.00.00
2;61;No;8;7;40.00.00
1;67;Yes;8;5;42.00.00
2;69;No;8;3;45.00.00
5;91;Yes;9;1;80.00.00
4;75;No;8;6;60.00.00
4;41;No;5;0;21.00
9;97;No;6;6;95.00.00
8;75;Yes;8;9;72.00.00
6;47;Yes;4;9;35.00.00
1;84;No;9;6;58.00.00
2;81;Yes;6;9;59.00.00
6;89;Yes;5;2;77.00.00
2;48;Yes;8;3;23.00
5;40;Yes;5;3;26.00.00
5;52;Yes;9;3;39.00.00
6;89;Yes;8;8;79.00.00
6;54;Yes;4;5;39.00.00
6;71;Yes;6;9;61.00.00
2;73;Yes;4;8;47.00.00
3;82;Yes;8;3;63.00.00
6;70;Yes;7;6;61.00.00
8;53;Yes;6;9;51.00.00
1;93;Yes;5;8;68.00.00
1;86;No;8;9;66.00.00
2;53;No;4;2;29.00.00
6;87;Yes;9;2;78.00.00
9;94;Yes;7;5;94.00.00
4;68;Yes;9;7;56.00.00
3;86;No;8;0;68.00.00
8;58;No;5;3;50.00.00
9;66;Yes;4;7;62.00.00
5;48;Yes;6;5;31.00.00
9;76;Yes;7;1;73.00.00
2;76;Yes;8;7;57.00.00
3;82;Yes;8;0;60.00.00
7;67;No;8;0;56.00.00
7;91;Yes;8;6;88.00.00
6;96;No;4;9;84.00.00
6;63;Yes;6;2;48.00.00
2;67;Yes;5;7;41.00.00
6;75;No;7;8;65.00.00
4;91;No;8;7;74.00.00
3;57;Yes;9;0;38.00.00
2;64;No;8;0;40.00.00
1;74;Yes;6;5;49.00.00
5;43;No;6;0;30.00.00
2;53;No;4;7;29.00.00
2;78;Yes;4;5;57.00.00
7;65;Yes;9;4;58.00.00
8;47;No;9;5;40.00.00
8;63;Yes;4;3;60.00.00
4;55;No;7;0;41.00.00
1;59;No;9;6;34.00.00
7;54;Yes;4;9;46.00.00
1;46;No;8;8;24.00.00
4;97;Yes;4;3;79.00.00
8;56;Yes;7;3;52.00.00
2;61;No;4;8;36.00.00
6;61;Yes;4;3;52.00.00
6;93;No;8;9;84.00.00
9;51;No;9;3;50.00.00
5;57;Yes;8;7;47.00.00
4;95;Yes;8;3;81.00.00
5;85;No;4;8;70.00.00
5;86;Yes;8;7;77.00.00
8;54;No;6;4;49.00.00
8;76;No;5;8;70.00.00
2;55;No;5;7;28.00.00
7;44;No;8;9;36.00.00
8;41;No;9;3;34.00.00
6;91;Yes;7;3;80.00.00
5;67;No;8;0;51.00.00
9;96;No;9;3;95.00.00
3;80;No;8;7;60.00.00
4;93;No;4;4;78.00.00
9;66;No;9;5;65.00.00
6;70;No;7;3;57.00.00
